"","WT.NOR.1","WT.NOR.2","WT.NOR.3","WT.TAM.1","WT.TAM.2","WT.TAM.3","KO.NOR.1","KO.NOR.2","KO.NOR.3","KO.TAM.1","KO.TAM.2","KO.TAM.3"
"Lhfp",6.3815272146267,6.75037217226162,6.31767920092465,7.68120800957488,8.81220536224893,7.71473032070602,5.14052420227175,4.83665313216501,4.52844024020929,6.4201053651021,5.95124103777123,4.81418484014469
"E2f8",8.91447062702299,8.98787827513742,9.02268094994186,8.90956970683473,8.21439394194483,9.23549058154743,7.12685980263984,7.53933410823891,7.45454204000095,6.58209584284311,6.60271971685945,6.13703195933557
"Plekha5",6.65273489867987,6.76686100831631,6.81443996049696,6.76542623376576,7.27436895497417,6.55423332774969,5.54115789576387,5.62487279587123,5.87508804007508,6.21271418058665,5.81219432657991,5.79023739267032
"Cald1",7.42793452455178,7.77694411718515,7.63128312748218,8.40213720379874,9.67909298377987,8.63386781543673,5.48811927295339,4.43384378756884,5.28508010035683,7.64091362581246,7.18778372923244,5.56379549100271
"Npy",6.74947294278677,6.72941013535341,6.90354137907166,9.31363437317798,8.81927062079263,9.75182067788736,5.36161899717978,5.8972088493268,5.54614626211757,7.48635163964458,6.25226147184478,5.96398962078616
"Actn1",10.2227688627663,10.2689004390751,10.3161157610466,10.6938514882976,11.0299400965094,10.8272597849708,8.91294764007307,8.82785024808836,8.82337784397704,10.032101152185,9.41819586976727,8.99040214479268
"Kif22",7.04408830530024,7.09985723776774,6.96780553862025,7.76192619548253,6.77572451608306,8.07448944291017,5.44846713966218,5.64114465519056,5.7365127628629,6.0211759219369,5.72659448486645,5.66281731966537
"Dut",7.39549218682051,7.36518066479084,7.46661692931541,7.89890395994974,7.63258655580984,8.04966034300758,6.73433475944033,7.00053711170887,6.83228150936811,6.7308775976444,6.7331956531934,6.61089876328551
"Gpr18",10.0184340931656,9.80885076498776,9.68504206657357,4.90862567208987,6.14358589973188,5.71741226614001,9.72693066278841,9.7839835782774,9.67925633627189,6.04427953434206,8.55477816571794,9.18906563600257
"Chaf1b",7.89133519933668,7.87110844488966,7.88603596821058,8.63533938120871,8.50401641108182,8.84364761384104,7.15967120900924,7.50337756309056,7.35696345108716,7.264286189537,7.22265745567863,7.54354079865199
"D17H6S56E-5",8.34959132589305,8.24129463603844,8.29989069477057,8.73315903294444,8.01748149214132,8.95488348833856,7.51848702822048,7.54238429816481,7.85438216645526,7.55301879384312,7.49777649419123,6.95700716775628
"Egln2",8.8138520150398,8.86907547459502,8.82762064333431,7.05925750867704,6.97336712460224,7.09513941655843,9.16605467173697,9.14189922365586,9.28417488460141,7.07395002745088,8.66520519978913,8.8411562193367
"Abcg1",8.91024565135022,8.98648134843415,8.92234638285646,8.19876462904277,9.62755443013407,7.90095227197946,9.63973602226066,9.62807860432599,9.66848780630946,9.33611415426338,9.87680532589595,9.80709535149611
