"","WT.NOR.1","WT.NOR.2","WT.NOR.3","WT.TAM.1","WT.TAM.2","WT.TAM.3","KO.NOR.1","KO.NOR.2","KO.NOR.3","KO.TAM.1","KO.TAM.2","KO.TAM.3"
"17455386",8.23726918265373,8.23290355437118,8.32929848183023,9.38945455937025,8.58254764682925,9.0663108175999,8.28867290550288,8.33043248390806,8.37684819135851,10.3747947435281,9.12705118175286,8.87342267575579
"17242535",5.28139701906303,5.14131920269837,4.94562312322959,5.79188210972858,6.56367487880106,5.80038918452035,4.83684926265807,4.76653852300902,4.53614837997316,5.29911600194535,4.68114512370948,4.79384699476748
"17466687",7.05211067347216,7.16431108690438,7.00228078632644,7.66308177863172,7.40532986964818,7.75117400215354,6.24108879998964,5.94895452040462,5.89338723494857,7.04862349402774,6.40671150750051,6.20649959519154
"17436761",5.26578156702764,5.19522353503556,5.32448405735532,5.40618919673801,5.55511513447818,5.32984135734417,4.91160195618524,4.77433158196997,4.84892223282598,5.24216782429189,4.99880626916705,4.60639139194546
"17363533",6.28567775081077,6.00586169522552,6.12834377080469,6.5209237600115,5.7311241600818,6.71317552130946,4.27853743564374,4.53506917597307,4.76760327011553,5.79518319414697,4.79367280594494,4.56620588846411
"17219308",5.93503165502081,6.29476721746965,6.39559441692861,6.52094491273255,6.36023926602485,6.75376040510625,6.29598821225168,6.51818366036936,6.70515506015716,6.54607906536552,6.71401419244365,7.04594671640146
"17319691",5.59895173897964,5.3663103453396,5.34195657582429,5.66109516670111,5.23510088980703,5.65251612287907,5.82049498308917,6.02861143727323,5.80036416194991,5.62358693465025,5.88280076357935,5.50055973020013
"17526206",6.7358336772748,6.65869961988517,6.84647661820991,8.05362032558875,7.52175445398962,7.93765513710432,6.79757798591908,6.77400745123037,6.62632007862137,7.82791747845332,7.0524913274604,6.91536916355644
"17437704",8.47862554707334,8.55998121952338,8.58568380872212,8.08330602789973,7.98765348045843,7.87515483026529,8.64316220433549,8.69453160016188,8.70033531403568,7.98110032141333,8.26342805191791,8.15828986772406
"17514460",4.46285803456781,4.73762903273708,4.40370773775251,5.17689618349167,5.9797371371861,5.46713636367837,4.08787888820792,4.00479781756983,4.01514659169704,4.68663862112552,4.07126444293869,4.06397894700411
"17271118",11.5932463331187,11.6516805430578,11.6993357294907,10.3002352795585,10.7079491799286,9.97990666981872,11.7624525522851,11.7398074680543,11.7790693110477,10.6426882915338,11.5293319496535,11.5724071583969
"17468895",6.28667372395472,6.1692367149915,6.78176699008466,6.44185510271287,6.6460606262335,6.65843632330382,6.69091106832236,6.43899948948362,6.45647349749539,6.31445763903366,6.7514719009099,6.73607978824491
"17231963",7.63519178515729,7.82984123724948,7.7834058208065,7.52090451192854,7.1176235881165,8.23282003855621,5.9144255008668,6.15600949231917,6.41657881893193,5.67309904927131,6.038589022326,5.49107025305053
"17503948",8.19289928270571,8.25253713454789,8.17023673582159,8.07780764222604,8.14793435256254,8.27761486505771,7.66687007908141,7.69776066893854,7.75257504726658,7.92983607117793,7.76629016839611,7.82651611538819
"17295996",8.49071100876089,8.62442083070875,8.61186914960095,7.89735579191576,7.25402386273359,8.00369852622979,8.57410339049785,8.54594847093363,8.60319380951893,8.16422611406367,7.62230431905938,7.75238660206105
"17527934",8.79327854233883,8.74579365392272,8.8787759775711,9.4986070125426,8.61348503655569,9.77186726714056,7.58239171539589,7.65783500361983,7.56890694954084,7.67266366533423,7.17908768415456,5.95564496258918
"17458990",8.04063462095855,8.10328780128028,8.04209491854007,8.42569288783548,7.78659838988408,8.61843474088748,7.49603132898253,7.520972838214,7.60745856334633,8.00004338273852,7.38327177404178,7.47805378548842
"17503245",7.41078969327267,7.54350451837023,7.37995376932716,7.47421690021411,7.1719109590186,7.71012042491651,6.79476883569045,6.86560430968559,6.90996847872852,6.26316646761321,6.67464446267642,6.75809610587066
"17274249",11.117216264562,11.1958378304405,11.1550938912099,11.2536117214835,10.8537441600829,11.1945668572771,10.4629940016284,10.6042979451333,10.5644747753052,10.7243651122736,10.6429079855688,10.4860851858868
"17396604",5.19196391469381,5.19673227334408,5.42441770537547,6.26179632375326,5.94506892408944,6.41776809005634,5.22454604574979,5.3575950424361,5.2959945841562,6.1971903217571,5.8811481484011,5.65518101872711
"17219591",5.22944402035599,5.52406610941639,5.27588491389392,5.9237854871028,5.86272209777622,5.64736604551022,5.58194781820891,5.16648361895228,5.13217716539207,5.69517676804783,5.5769192296823,5.52234724586937
"17378958",6.37692860378216,6.69000611319919,6.61235339615925,7.17757514626856,5.94443108302322,6.99494667010129,5.72009041537073,5.46715600608118,5.97555288877644,5.50673724495663,5.38635289095731,5.7994607955715
"17269270",5.61009229917481,5.51651259695558,5.65009465983479,5.77557330237057,5.80637856487247,5.95277279623381,6.03318799488255,5.95007987522527,6.10450634126171,6.17660722059477,6.41087382465198,5.97768910480786
"17312686",4.65742277450639,4.61908797058458,4.78346361457059,4.1784328012346,5.68161043455239,4.67369344792401,3.67896850624864,4.04811660263642,4.95567154452324,4.71725531817361,4.5828485791781,4.87879727007651
"17456053",8.71862963952381,8.75131134009918,8.75445310242764,9.11652121793689,9.04531614061725,8.95525344527331,9.31158957577544,9.30971444014557,9.36876052039688,9.52739759735378,9.37229028581059,9.24139133919494
"17424263",7.54952502174253,7.61490363570406,7.5654359511894,8.68913959930255,8.50554267578299,8.52887828086988,7.74149659195297,7.67036021307411,7.82809818199923,8.68213315390256,8.37763796124043,8.68150659875113
"17245342",9.58422112241804,9.5726760220537,9.61071890312415,9.21867648281172,9.17367979482502,9.27494161017784,9.69706659229539,9.66794413164849,9.85641046050791,9.20690656230598,9.46790016719143,9.38402190415703
"17489251",7.03464108557832,6.983644013346,6.92987155914361,7.09956421647436,6.76179736256653,7.18141165544078,6.2942329859237,6.25518789567468,6.3099189956311,6.06339626463528,6.15452972600574,6.16994487984617
"17500172",9.37029081651396,9.24326071172609,9.16262080063866,8.70993382027139,9.23380974439718,8.96121976672227,8.1339724360131,8.02724106844128,8.31020915880744,8.31535910053469,8.65118900383455,8.77976319878521
"17406708",4.931283753461,4.90058446016642,5.12295895152755,4.951492436709,4.71395859811711,5.32034093263758,5.29823616443255,5.36015920167381,4.56242783795702,4.7261680817851,5.1109546214881,4.7850188922113
"17449939",9.53558977697872,9.68134033615221,9.63355714990036,10.953856354472,10.2183300781383,10.7737446075739,9.56490291274223,9.56171007629155,9.56912891606749,11.3895133091038,9.90325099283341,9.74119546136723
"17280561",6.17379517583214,6.05770549033592,5.97501605753227,5.60655243504963,5.67358738304699,5.93786302239442,6.17079362074025,6.07726018893888,6.35874985964202,5.3663103453396,5.56710523213936,6.07243707967556
"17304147",7.31298417881032,7.43332713255206,7.2303452595932,7.48964304432094,8.06706972267822,7.70437711177427,7.27320983750307,6.94765794298764,7.13522578569,8.0004902686114,7.76315956819822,7.49977555212384
"17232634",6.18747995339002,6.32954365021215,6.1185165599351,6.54190904857603,6.16515505277102,6.97010092515395,5.6392272301858,6.13092912415416,5.91849055579084,5.54022999145019,6.03580480500203,5.65128608854875
"17514603",11.5330513511445,11.6229891275008,11.5919101348409,10.961446507389,10.6769062513812,10.841620593021,11.717875583686,11.7214716387933,11.7577267284804,11.1306823802336,11.3295697732366,11.2877328660476
"17267745",5.30416691761813,5.28754547481624,5.30127905456624,5.22203245741087,5.56423869611307,5.0654143117832,4.2031625759555,4.17514744771987,3.79407876241351,4.96006114333445,4.20506984164366,4.16774965616824
"17524014",6.60686115831887,6.59315297876535,6.49942976983069,7.16031810375041,6.83115614874602,7.41545796505544,5.6950365326071,5.7759676869837,5.92240028121511,7.010285043096,6.38037402373388,6.26826356232196
"17321630",8.93739651450158,9.15051204866015,9.09132843515492,9.16438723726152,8.69178507950143,9.42716448347163,8.02928505567102,8.23592424082471,8.03708416258286,8.9548780784472,8.43218121601195,8.26042830098833
"17451843",8.56561301475166,8.54386849522572,8.55029504131506,9.04253958829578,8.92933846609539,8.85293813449568,8.42494710033577,8.50341807486242,8.32229209330635,9.11194893405592,8.88385435611161,8.87595327858735
"17246790",5.04876065180056,5.05057291668592,5.18717165284748,5.79879600398128,5.71680791295935,5.53069736320776,5.15520793556276,5.22691299260628,5.24697021178896,6.05737121502302,5.07443244082196,5.35626930775421
"17284243",8.07526318232438,8.06418566023691,7.98254270564677,8.19783163365179,8.04611309218174,8.24510539269715,7.58670938987392,7.44236623403463,7.63966386404568,7.5795315688042,7.7348699221865,7.56995140024511
"17442958",4.54222068108902,4.92737399758781,4.76967169216777,4.49989653116484,4.52119430273243,4.19026115407285,4.30494351056248,4.69346658618474,4.75551858622969,4.32414830908307,4.62539168556881,4.39713619825286
"17548468",6.03385205576026,5.99433861766927,5.54354615200066,6.12400484713342,6.73583543812984,6.33525627934452,5.45951470029673,5.40511506387263,5.45796252745996,5.80421846077212,5.32392604037064,5.36179376370694
"17307935",8.25967041700659,8.43395370363506,8.39141805446833,7.82920105148269,7.98213664628736,7.90545138988158,8.47907822307599,8.5308967955017,8.54855577759187,7.88312326767518,8.30919186618504,8.40767675823207
"17520667",3.72234655903697,4.19472398339257,4.04755020871004,3.48819553475649,3.96411987887193,4.3455823500572,3.9264065401319,4.85204020309982,4.15115722701701,4.12198403632113,4.52164020745006,4.74327448471787
"17452264",4.48161810854144,4.78410476760365,4.64733008388455,5.21981203154354,5.28781906258796,4.94056315154845,4.41177209205931,4.57279534937122,4.44652190661096,5.05806510993112,4.95993481612258,4.90667056747443
"17307774",6.6046713452351,6.7272567611323,6.67802289124569,7.31510468492751,6.53760037589575,7.49291972333159,5.60445707109639,5.96807704285524,5.90848557022015,5.15435178175606,5.28324194996838,4.5732465617035
"17402155",7.63860222359486,7.75711620435075,7.48143793393873,8.27243286376915,9.88359476820391,8.66639643538323,4.53147431974232,5.14792467219285,4.8091630912333,7.6922844749764,6.98195575910749,4.6650748019568
"17536165",5.59151472868407,5.18123407946224,5.45120056808428,4.76206152727566,5.07895764703483,5.03653178229963,5.52905830832981,5.7009983606551,5.17202786849639,5.41286338019558,5.54472599277161,5.20979322695406
"17517500",7.754815755553,7.80619952751062,7.71628122779567,8.44588244469085,8.17070747749123,8.21128832021069,7.57219345528017,7.5460074192389,7.60446201318725,8.43790394466655,7.97568040315439,8.07867059115669
"17404432",9.71907803877444,9.86717384155284,9.73609076486856,10.1260353314852,10.2488421961274,10.0614866955965,9.33818526247585,9.48519152353381,9.4766011044247,9.88030462818161,9.47118332645056,9.39113545213954
"17460451",5.94730999015462,5.90556915357671,5.73844923966686,6.73639530663209,6.33119174289958,6.56024803695247,6.01714563616371,6.02833267265787,6.3438459053919,6.82152048835765,6.08666059231104,6.34791713522216
"17540420",7.79435696214558,7.94314182650514,7.9003217754788,7.71831129238597,7.95961445804658,7.54263591175568,8.26735102994293,8.28796027610344,8.38742696976482,8.22203486946045,8.16321229005399,8.21812889751636
"17331422",7.41217610106027,7.70064775654351,7.77038951999723,7.46834848467476,7.48072442590756,7.62548082000346,8.22961369898365,8.17753643410868,8.19856427185004,8.25327472164183,8.11475722578511,7.95011589656828
"17318587",6.98729771359073,6.75335773588837,6.85065620569714,4.38057972515606,5.89925402603818,5.10915818509025,6.49139346012685,6.66700787783465,6.83949326155519,5.22205340557425,6.33718480280242,6.31931997527785
"17397774",8.32910779941517,8.40612023411409,8.36359553614223,7.61159068394835,8.43283235460553,7.5913787547833,8.70716003104929,8.66080757521434,8.72597616692143,7.85916588158611,8.49388935015306,8.57630039738775
